
Črnomelj ;"2010";89;61;61;75;28;-14
Črnomelj ;"2011";75;73;80;75;-5;-2
Črnomelj;"2012";78;69;70;78;8;-9
Črnomelj ;"2013";78;68;76;85;2;-17
Črnomelj ;"2014";71;63;78;89;-7;-26
Destrnik;"2010";14;14;8;11;6;3
Destrnik;"2011";10;16;21;7;-11;9
Destrnik;"2012";16;10;14;12;2;-2
Destrnik ;"2013";17;13;14;12;3;1
Destrnik ;"2014";10;10;12;15;-2;-5
Divača ;"2010";23;18;20;17;3;1
Divača;"2011";11;9;20;13;-9;-4
Divača ;"2012";20;12;16;18;4;-6
Divača ;"2013";26;14;22;8;4;6
Divača ;"2014";24;13;16;15;8;-2
Dobje;"2010";8;4;3;3;5;1
Dobje;"2011";6;6;3;6;3;0
Dobje;"2012";9;6;6;7;3;-1
Dobje ;"2013";6;9;5;6;1;3
Dobje ;"2014";5;8;2;3;3;5
Dobrepolje ;"2010";32;13;23;30;9;-17
Dobrepolje ;"2011";31;23;20;34;11;-11
Dobrepolje ;"2012";21;15;32;27;-11;-12
Dobrepolje;"2013";26;14;27;25;-1;-11
Dobrepolje ;"2014";17;19;25;24;-8;-5
Dobrna ;"2010";9;12;13;10;-4;2
Dobrna ;"2011";14;6;10;11;4;-5
Dobrna ;"2012";8;20;10;5;-2;15
Dobrna ;"2013";12;14;13;8;-1;6
Dobrna ;"2014";10;8;12;10;-2;-2
Dobrova - Polhov Gradec ;"2010";55;46;27;21;28;25
Dobrova - Polhov Gradec ;"2011";58;41;22;21;36;20
Dobrova - Polhov Gradec ;"2012";36;50;22;22;14;28
Dobrova - Polhov Gradec ;"2013";54;39;28;26;26;13
Dobrova - Polhov Gradec ;"2014";49;51;22;26;27;25
Dobrovnik/Dobronak ;"2010";5;8;8;4;-3;4
Dobrovnik/Dobronak ;"2011";5;6;6;8;-1;-2
Dobrovnik/Dobronak ;"2012";6;8;4;6;2;2
Dobrovnik/Dobronak ;"2013";4;3;6;8;-2;-5
Dobrovnik/Dobronak ;"2014";5;8;10;11;-5;-3
Dol pri Ljubljani ;"2010";39;25;17;18;22;7
Dol pri Ljubljani ;"2011";47;43;14;22;33;21
Dol pri Ljubljani ;"2012";41;47;15;11;26;36
Dol pri Ljubljani ;"2013";37;25;21;9;16;16
Dol pri Ljubljani ;"2014";43;40;11;14;32;26
Dolenjske Toplice ;"2010";19;15;17;16;2;-1
Dolenjske Toplice ;"2011";21;21;10;9;11;12
Dolenjske Toplice ;"2012";21;14;9;10;12;4
Dolenjske Toplice ;"2013";15;17;19;12;-4;5
