 ;" ";"Živorojeni - moški";"Živorojeni - ženske";"Umrli - moški";"Umrli - ženske";"Naravni prirast - moški";"Naravni prirast - ženske"
2005
 ;"Ravne na Koroškem";64;51;53;46;11;5
 ;"Razkrižje";4;2;8;4;-4;-2
 ;"Reèica ob Savinji";13;13;8;11;5;2
 ;"Renèe - Vogrsko";24;18;22;24;2;-6
 ;"Ribnica";44;53;43;30;1;23
 ;"Ribnica na Pohorju";4;6;4;8;0;-2
 ;"Rogaška Slatina";59;54;45;45;14;9
 ;"Rogašovci";10;14;24;20;-14;-6
 ;"Rogatec";12;15;14;9;-2;6
 ;"Ruše";36;33;45;38;-9;-5
 ;"Selnica ob Dravi";13;19;19;31;-6;-12
 ;"Semiè";19;20;23;15;-4;5
 ;"Sevnica";77;64;104;105;-27;-41
 ;"Sežana";52;58;59;74;-7;-16
 ;"Slovenj Gradec";92;67;81;71;11;-4
 ;"Slovenska Bistrica";114;127;119;120;-5;7
 ;"Slovenske Konjice";82;51;57;61;25;-10
 ;"Sodražica";8;14;10;12;-2;2
 ;"Solèava";2;1;1;3;1;-2
 ;"Središèe ob Dravi";10;6;11;12;-1;-6
 ;"Starše";19;20;24;17;-5;3
 ;"Straža";23;20;15;8;8;12
 ;"Sveta Ana";11;6;13;14;-2;-8
 ;"Sveta Trojica v Slov. goricah";13;9;12;13;1;-4
 ;"Sveti Andraž v Slov. goricah";5;2;3;8;2;-6
 ;"Sveti Jurij ob Šèavnici";22;18;12;13;10;5
 ;"Sveti Jurij v Slov. goricah";7;8;16;7;-9;1
 ;"Sveti Tomaž";10;8;10;8;0;0
 ;"Šalovci";4;8;11;19;-7;-11
 ;"Šempeter - Vrtojba";33;31;20;27;13;4
 ;"Šenèur";48;43;33;25;15;18
 ;"Šentilj";48;37;47;35;1;2
 ;"Šentjernej";31;37;37;33;-6;4
 ;"Šentjur";93;113;85;85;8;28
 ;"Šentrupert";11;15;11;8;0;7
 ;"Škocjan";24;23;21;16;3;7
 ;"Škofja Loka";138;124;92;74;46;50
 ;"Škofljica";56;44;19;18;37;26
 ;"Šmarje pri Jelšah";48;61;49;39;-1;22
 ;"Šmarješke Toplice";14;23;18;16;-4;7
 ;"Šmartno ob Paki";19;17;13;11;6;6
 ;"Šmartno pri Litiji";38;26;26;24;12;2
 ;"Šoštanj";46;32;44;36;2;-4
 ;"Štore";24;22;20;13;4;9
 ;"Tabor";5;2;10;7;-5;-5
 ;"Tišina";17;18;23;20;-6;-2
 ;"Tolmin";57;56;55;76;2;-20
 ;"Trbovlje";74;78;93;87;-19;-9
 ;"Trebnje";74;71;59;67;15;4
 ;"Trnovska vas";11;8;5;8;6;0
 ;"Trzin";25;24;10;12;15;12
 ;"Tržiè";76;66;64;52;12;14
 ;"Turnišèe";20;12;29;20;-9;-8
 ;"Velenje";158;158;113;98;45;60
 ;"Velika Polana";10;8;7;12;3;-4
 ;"Velike Lašèe";35;17;22;15;13;2
 ;"Veržej";5;2;14;6;-9;-4
 ;"Videm";27;19;22;29;5;-10
 ;"Vipava";26;46;21;29;5;17
 ;"Vitanje";8;12;12;10;-4;2
 ;"Vodice";22;27;13;17;9;10
 ;"Vojnik";39;42;47;31;-8;11
 ;"Vransko";13;10;21;17;-8;-7
 ;"Vrhnika";101;106;52;47;49;59
 ;"Vuzenica";11;10;10;15;1;-5
 ;"Zagorje ob Savi";109;88;87;79;22;9
 ;"Zavrè";13;3;8;8;5;-5
 ;"Zreèe";32;28;36;20;-4;8
 ;"Žalec";116;122;77;111;39;11
 ;"Železniki";42;38;26;29;16;9
 ;"Žetale";8;5;4;12;4;-7
 ;"Žiri";27;29;24;16;3;13
 ;"Žirovnica";19;13;24;14;-5;-1
 ;"Žužemberk";22;26;21;31;1;-5
2008
 ;"Ajdovšèina";136;82;83;69;53;13
 ;"Apaèe";15;12;21;21;-6;-9
 ;"Beltinci";39;50;47;41;-8;9
 ;"Benedikt";19;13;9;13;10;0
 ;"Bistrica ob Sotli";9;6;8;10;1;-4
 ;"Bled";38;31;35;37;3;-6
 ;"Bloke";9;6;14;7;-5;-1
 ;"Bohinj";35;32;24;35;11;-3
 ;"Borovnica";26;13;16;9;10;4
 ;"Bovec";10;17;15;14;-5;3
 ;"Braslovèe";38;24;25;14;13;10
 ;"Brda";26;32;23;28;3;4
 ;"Brezovica";71;71;31;32;40;39
 ;"Brežice";111;125;125;116;-14;9
 ;"Cankova";6;15;15;19;-9;-4
 ;"Celje";246;256;233;183;13;73
 ;"Cerklje na Gorenjskem";44;46;23;36;21;10
 ;"Cerknica";58;76;48;65;10;11
 ;"Cerkno";25;28;25;18;0;10
 ;"Cerkvenjak";4;12;11;11;-7;1
 ;"Cirkulane";8;11;15;17;-7;-6
 ;"Èrenšovci";26;19;25;16;1;3
 ;"Èrna na Koroškem";15;20;17;15;-2;5
 ;"Èrnomelj";91;63;65;77;26;-14
 ;"Destrnik";16;10;18;9;-2;1
 ;"Divaèa";22;23;15;12;7;11
 ;"Dobje";4;6;5;3;-1;3
 ;"Dobrepolje";21;28;29;22;-8;6
 ;"Dobrna";13;8;8;10;5;-2
 ;"Dobrova - Polhov Gradec";52;53;25;25;27;28
 ;"Dobrovnik/Dobronak";6;6;5;11;1;-5
 ;"Dol pri Ljubljani";42;45;16;19;26;26
 ;"Dolenjske Toplice";23;17;22;7;1;10
 ;"Domžale";226;204;111;90;115;114
 ;"Dornava";12;15;16;7;-4;8
 ;"Dravograd";54;58;56;59;-2;-1
 ;"Duplek";37;31;34;18;3;13
 ;"Gorenja vas - Poljane";56;63;22;20;34;43
 ;"Gorišnica";23;18;21;19;2;-1
 ;"Gorje";25;13;9;13;16;0
 ;"Gornja Radgona";33;43;50;38;-17;5
 ;"Gornji Grad";8;15;24;33;-16;-18
 ;"Gornji Petrovci";7;5;18;19;-11;-14
 ;"Grad";9;6;12;9;-3;-3
 ;"Grosuplje";151;123;72;78;79;45
 ;"Hajdina";18;13;18;15;0;-2
 ;"Hoèe - Slivnica";62;60;45;36;17;24
 ;"Hodoš/Hodos";3;0;3;2;0;-2
 ;"Horjul";20;17;15;22;5;-5
 ;"Hrastnik";46;41;52;67;-6;-26
 ;"Hrpelje - Kozina";27;19;14;20;13;-1
 ;"Idrija";56;69;75;78;-19;-9
 ;"Ig";37;50;19;16;18;34
 ;"Ilirska Bistrica";55;64;99;88;-44;-24
 ;"Ivanèna Gorica";112;102;85;46;27;56
 ;"Izola/Isola";96;91;65;76;31;15
 ;"Jesenice";114;103;113;101;1;2
 ;"Jezersko";2;4;4;7;-2;-3
 ;"Juršinci";14;10;11;13;3;-3
 ;"Kamnik";193;195;116;105;77;90
 ;"Kanal";26;33;31;27;-5;6
 ;"Kidrièevo";34;35;35;35;-1;0
 ;"Kobarid";16;19;22;28;-6;-9
 ;"Kobilje";2;1;2;2;0;-1
 ;"Koèevje";88;85;86;79;2;6
 ;"Komen";20;17;15;14;5;3
 ;"Komenda";39;32;14;12;25;20
 ;"Koper/Capodistria";241;258;220;179;21;79
 ;"Kostanjevica na Krki";22;8;21;7;1;1
 ;"Kostel";2;1;3;3;-1;-2
 ;"Kozje";19;9;19;18;0;-9
 ;"Kranj";318;298;197;206;121;92
 ;"Kranjska Gora";34;17;27;21;7;-4
 ;"Križevci";11;21;20;22;-9;-1
 ;"Krško";135;126;136;128;-1;-2
 ;"Kungota";23;22;21;16;2;6
 ;"Kuzma";7;5;7;8;0;-3
 ;"Laško";78;60;84;87;-6;-27
 ;"Lenart";38;46;47;47;-9;-1
 ;"Lendava/Lendva";38;40;66;74;-28;-34
 ;"Litija";89;100;54;54;35;46
 ;"Ljubljana";1471;1479;1009;1110;462;369
 ;"Ljubno";12;24;16;12;-4;12
 ;"Ljutomer";66;69;70;63;-4;6
 ;"Log - Dragomer";25;14;10;7;15;7
 ;"Logatec";93;78;56;53;37;25
 ;"Loška dolina";14;16;14;12;0;4
 ;"Loški Potok";11;5;12;13;-1;-8
 ;"Lovrenc na Pohorju";13;21;17;17;-4;4
 ;"Luèe";6;3;8;8;-2;-5
 ;"Lukovica";48;41;18;23;30;18
 ;"Majšperk";24;18;33;18;-9;0
 ;"Makole";7;9;8;4;-1;5
 ;"Maribor";518;495;566;638;-48;-143
 ;"Markovci";19;13;20;15;-1;-2
 ;"Medvode";85;75;66;46;19;29
 ;"Mengeš";49;59;26;56;23;3
 ;"Metlika";37;33;44;54;-7;-21
 ;"Mežica";24;23;15;15;9;8
 ;"Miklavž na Dravskem polju";31;28;23;13;8;15
 ;"Miren - Kostanjevica";26;19;18;26;8;-7
 ;"Mirna";-;-;-;-;-;-
 ;"Mirna Peè";16;11;10;9;6;2
 ;"Mislinja";24;31;18;14;6;17
 ;"Mokronog - Trebelno";20;21;5;10;15;11
 ;"Moravèe";30;29;17;13;13;16
 ;"Moravske Toplice";26;25;28;46;-2;-21
 ;"Mozirje";25;28;16;11;9;17
 ;"Murska Sobota";92;85;87;102;5;-17
 ;"Muta";19;17;15;16;4;1
 ;"Naklo";29;40;15;15;14;25
 ;"Nazarje";10;13;12;12;-2;1
 ;"Nova Gorica";176;173;162;169;14;4
 ;"Novo mesto";213;196;138;149;75;47
 ;"Odranci";8;13;5;7;3;6
 ;"Oplotnica";30;17;16;14;14;3
 ;"Ormož";62;44;68;71;-6;-27
 ;"Osilnica";2;0;5;0;-3;0
 ;"Pesnica";31;31;52;42;-21;-11
 ;"Piran/Pirano";85;69;68;71;17;-2
 ;"Pivka";39;30;31;22;8;8
 ;"Podèetrtek";21;9;14;14;7;-5
 ;"Podlehnik";9;4;4;8;5;-4
 ;"Podvelka";13;8;16;8;-3;0
 ;"Poljèane";23;18;23;40;0;-22
 ;"Polzela";35;25;26;31;9;-6
 ;"Postojna";106;88;72;73;34;15
 ;"Prebold";34;19;20;15;14;4
 ;"Preddvor";22;20;19;22;3;-2
 ;"Prevalje";35;31;47;48;-12;-17
 ;"Ptuj";110;115;102;119;8;-4
 ;"Puconci";17;40;41;35;-24;5
 ;"Raèe - Fram";37;38;25;25;12;13
 ;"Radeèe";19;21;19;22;0;-1
 ;"Radenci";18;16;24;28;-6;-12
 ;"Radlje ob Dravi";38;32;28;31;10;1
 ;"Radovljica";95;98;82;114;13;-16
 ;"Ravne na Koroškem";63;61;54;37;9;24
 ;"Razkrižje";8;10;6;7;2;3
 ;"Reèica ob Savinji";11;14;8;10;3;4
 ;"Renèe - Vogrsko";13;25;20;17;-7;8
 ;"Ribnica";59;49;40;33;19;16
 ;"Ribnica na Pohorju";9;3;5;2;4;1
 ;"Rogaška Slatina";65;55;40;57;25;-2
 ;"Rogašovci";12;10;18;21;-6;-11
 ;"Rogatec";17;14;15;19;2;-5
 ;"Ruše";28;32;27;37;1;-5
 ;"Selnica ob Dravi";24;20;21;16;3;4
 ;"Semiè";27;14;9;14;18;0
 ;"Sevnica";80;84;108;95;-28;-11
 ;"Sežana";74;69;66;73;8;-4
 ;"Slovenj Gradec";86;96;83;55;3;41
 ;"Slovenska Bistrica";117;135;115;96;2;39
 ;"Slovenske Konjice";76;90;53;77;23;13
 ;"Sodražica";15;8;4;9;11;-1
 ;"Solèava";4;6;6;5;-2;1
 ;"Središèe ob Dravi";9;12;7;9;2;3
 ;"Starše";22;26;16;13;6;13
 ;"Straža";24;26;19;14;5;12
 ;"Sveta Ana";9;14;20;10;-11;4
 ;"Sveta Trojica v Slov. goricah";8;8;13;15;-5;-7
 ;"Sveti Andraž v Slov. goricah";3;14;4;5;-1;9
 ;"Sveti Jurij ob Šèavnici";11;17;15;14;-4;3
 ;"Sveti Jurij v Slov. goricah";8;7;13;11;-5;-4
 ;"Sveti Tomaž";10;14;9;9;1;5
 ;"Šalovci";5;5;16;16;-11;-11
 ;"Šempeter - Vrtojba";35;32;31;26;4;6
 ;"Šenèur";50;48;27;30;23;18
 ;"Šentilj";40;40;37;33;3;7
 ;"Šentjernej";42;36;26;15;16;21
 ;"Šentjur";118;102;90;92;28;10
 ;"Šentrupert";15;9;11;16;4;-7
 ;"Škocjan";19;25;17;15;2;10
 ;"Škofja Loka";132;133;83;100;49;33
 ;"Škofljica";54;53;31;12;23;41
 ;"Šmarje pri Jelšah";64;53;60;70;4;-17
 ;"Šmarješke Toplice";29;21;21;17;8;4
 ;"Šmartno ob Paki";21;11;15;11;6;0
 ;"Šmartno pri Litiji";26;32;38;34;-12;-2
 ;"Šoštanj";40;57;42;28;-2;29
 ;"Štore";23;16;19;15;4;1
 ;"Tabor";10;8;13;5;-3;3
 ;"Tišina";17;16;23;24;-6;-8
 ;"Tolmin";53;55;77;86;-24;-31
 ;"Trbovlje";90;59;103;89;-13;-30
 ;"Trebnje";91;90;56;66;35;24
 ;"Trnovska vas";11;5;9;9;2;-4
 ;"Trzin";27;29;12;11;15;18
 ;"Tržiè";84;81;69;58;15;23
 ;"Turnišèe";14;17;22;15;-8;2
 ;"Velenje";162;160;117;122;45;38
 ;"Velika Polana";4;6;6;11;-2;-5
 ;"Velike Lašèe";35;25;14;22;21;3
 ;"Veržej";2;4;6;8;-4;-4
 ;"Videm";18;33;28;18;-10;15
 ;"Vipava";31;35;31;16;0;19
 ;"Vitanje";24;10;12;10;12;0
 ;"Vodice";33;23;16;15;17;8
 ;"Vojnik";54;35;42;58;12;-23
 ;"Vransko";17;14;9;22;8;-8
 ;"Vrhnika";106;103;59;76;47;27
 ;"Vuzenica";15;12;13;14;2;-2
 ;"Zagorje ob Savi";104;88;85;69;19;19
 ;"Zavrè";10;4;5;3;5;1
 ;"Zreèe";36;33;22;21;14;12
 ;"Žalec";122;132;79;81;43;51
 ;"Železniki";52;38;21;17;31;21
 ;"Žetale";7;0;8;7;-1;-7
 ;"Žiri";22;27;22;16;0;11
 ;"Žirovnica";17;20;13;22;4;-2
 ;"Žužemberk";25;25;23;21;2;4
2009
 ;"Ajdovšèina";125;99;71;86;54;13
 ;"Apaèe";25;18;16;20;9;-2
 ;"Beltinci";39;35;46;44;-7;-9
 ;"Benedikt";18;12;6;9;12;3
 ;"Bistrica ob Sotli";7;4;9;1;-2;3
 ;"Bled";55;41;39;41;16;0
 ;"Bloke";13;5;10;7;3;-2
 ;"Bohinj";30;29;31;27;-1;2
 ;"Borovnica";22;15;15;14;7;1
 ;"Bovec";19;13;23;17;-4;-4
 ;"Braslovèe";33;21;21;19;12;2
 ;"Brda";30;29;37;32;-7;-3
 ;"Brezovica";73;64;42;27;31;37
 ;"Brežice";101;85;127;127;-26;-42
 ;"Cankova";7;8;13;12;-6;-4
 ;"Celje";254;242;214;209;40;33
 ;"Cerklje na Gorenjskem";41;47;16;31;25;16
 ;"Cerknica";58;46;59;58;-1;-12
 ;"Cerkno";30;25;15;18;15;7
 ;"Cerkvenjak";11;10;7;9;4;1
 ;"Cirkulane";15;7;20;17;-5;-10
 ;"Èrenšovci";22;16;17;20;5;-4
 ;"Èrna na Koroškem";16;15;19;15;-3;0
 ;"Èrnomelj";83;74;83;64;0;10
 ;"Destrnik";15;12;7;11;8;1
 ;"Divaèa";16;25;20;10;-4;15
 ;"Dobje";4;3;4;6;0;-3
 ;"Dobrepolje";21;19;32;38;-11;-19
 ;"Dobrna";13;15;12;10;1;5
 ;"Dobrova - Polhov Gradec";56;45;25;19;31;26
 ;"Dobrovnik/Dobronak";7;7;8;12;-1;-5
 ;"Dol pri Ljubljani";37;36;19;15;18;21
 ;"Dolenjske Toplice";20;13;19;10;1;3
 ;"Domžale";221;188;124;87;97;101
 ;"Dornava";11;16;17;6;-6;10
 ;"Dravograd";56;45;50;61;6;-16
 ;"Duplek";33;39;26;25;7;14
 ;"Gorenja vas - Poljane";51;59;21;17;30;42
 ;"Gorišnica";16;24;19;27;-3;-3
 ;"Gorje";12;11;18;10;-6;1
 ;"Gornja Radgona";44;32;52;50;-8;-18
 ;"Gornji Grad";16;14;31;34;-15;-20
 ;"Gornji Petrovci";7;9;13;21;-6;-12
 ;"Grad";11;6;19;9;-8;-3
 ;"Grosuplje";133;121;76;76;57;45
 ;"Hajdina";11;18;15;15;-4;3
 ;"Hoèe - Slivnica";62;43;49;33;13;10
 ;"Hodoš/Hodos";0;0;4;1;-4;-1
 ;"Horjul";17;17;12;20;5;-3
 ;"Hrastnik";45;51;45;52;0;-1
 ;"Hrpelje - Kozina";18;25;18;21;0;4
 ;"Idrija";74;65;78;77;-4;-12
 ;"Ig";44;37;22;14;22;23
 ;"Ilirska Bistrica";65;62;78;75;-13;-13
 ;"Ivanèna Gorica";107;93;61;58;46;35
 ;"Izola/Isola";98;103;73;81;25;22
 ;"Jesenice";113;110;122;92;-9;18
 ;"Jezersko";2;5;7;0;-5;5
 ;"Juršinci";13;16;9;9;4;7
 ;"Kamnik";220;184;115;120;105;64
 ;"Kanal";34;35;31;30;3;5
 ;"Kidrièevo";33;36;29;33;4;3
 ;"Kobarid";25;17;17;18;8;-1
 ;"Kobilje";3;2;1;4;2;-2
 ;"Koèevje";75;57;89;78;-14;-21
 ;"Komen";9;18;18;15;-9;3
 ;"Komenda";47;45;13;14;34;31
 ;"Koper/Capodistria";281;267;228;214;53;53
 ;"Kostanjevica na Krki";12;14;18;9;-6;5
 ;"Kostel";0;1;5;4;-5;-3
 ;"Kozje";11;11;17;17;-6;-6
 ;"Kranj";337;300;184;199;153;101
 ;"Kranjska Gora";34;19;19;25;15;-6
 ;"Križevci";23;10;30;22;-7;-12
 ;"Krško";139;145;121;116;18;29
 ;"Kungota";12;17;30;21;-18;-4
 ;"Kuzma";3;4;19;15;-16;-11
 ;"Laško";66;58;87;113;-21;-55
 ;"Lenart";29;41;64;63;-35;-22
 ;"Lendava/Lendva";44;39;55;67;-11;-28
 ;"Litija";88;96;50;55;38;41
 ;"Ljubljana";1507;1456;997;1186;510;270
 ;"Ljubno";18;17;14;10;4;7
 ;"Ljutomer";59;77;69;75;-10;2
 ;"Log - Dragomer";28;22;10;10;18;12
 ;"Logatec";98;86;43;62;55;24
 ;"Loška dolina";25;27;15;11;10;16
 ;"Loški Potok";5;15;18;16;-13;-1
 ;"Lovrenc na Pohorju";7;18;13;8;-6;10
 ;"Luèe";7;11;9;11;-2;0
 ;"Lukovica";36;37;24;17;12;20
 ;"Majšperk";22;19;18;16;4;3
 ;"Makole";14;14;8;3;6;11
 ;"Maribor";506;469;544;605;-38;-136
 ;"Markovci";17;14;13;19;4;-5
 ;"Medvode";105;86;64;50;41;36
 ;"Mengeš";43;49;31;44;12;5
 ;"Metlika";33;37;37;65;-4;-28
 ;"Mežica";14;19;22;10;-8;9
 ;"Miklavž na Dravskem polju";22;27;29;16;-7;11
 ;"Miren - Kostanjevica";34;17;25;26;9;-9
 ;"Mirna";-;-;-;-;-;-
 ;"Mirna Peè";14;15;11;12;3;3
 ;"Mislinja";26;20;22;19;4;1
 ;"Mokronog - Trebelno";10;16;16;9;-6;7
 ;"Moravèe";34;36;17;14;17;22
 ;"Moravske Toplice";24;21;36;37;-12;-16
 ;"Mozirje";21;21;17;12;4;9
 ;"Murska Sobota";101;82;100;89;1;-7
 ;"Muta";16;19;23;11;-7;8
 ;"Naklo";35;39;16;15;19;24
 ;"Nazarje";14;12;14;11;0;1
 ;"Nova Gorica";182;155;180;181;2;-26
 ;"Novo mesto";215;184;154;174;61;10
 ;"Odranci";12;13;5;10;7;3
 ;"Oplotnica";15;27;21;15;-6;12
 ;"Ormož";77;57;67;82;10;-25
 ;"Osilnica";1;3;4;4;-3;-1
 ;"Pesnica";32;26;39;38;-7;-12
 ;"Piran/Pirano";67;67;85;91;-18;-24
 ;"Pivka";24;35;28;26;-4;9
 ;"Podèetrtek";21;13;13;14;8;-1
 ;"Podlehnik";8;7;13;11;-5;-4
 ;"Podvelka";18;10;11;16;7;-6
 ;"Poljèane";24;18;43;47;-19;-29
 ;"Polzela";38;25;44;49;-6;-24
 ;"Postojna";109;83;75;77;34;6
 ;"Prebold";25;27;21;14;4;13
 ;"Preddvor";16;22;32;37;-16;-15
 ;"Prevalje";35;50;40;58;-5;-8
 ;"Ptuj";122;126;105;125;17;1
 ;"Puconci";35;33;41;41;-6;-8
 ;"Raèe - Fram";30;24;25;23;5;1
 ;"Radeèe";17;19;17;26;0;-7
 ;"Radenci";31;17;22;46;9;-29
 ;"Radlje ob Dravi";38;34;38;33;0;1
 ;"Radovljica";95;86;86;117;9;-31
 ;"Ravne na Koroškem";59;60;48;23;11;37
 ;"Razkrižje";5;5;9;4;-4;1
 ;"Reèica ob Savinji";13;13;12;6;1;7
 ;"Renèe - Vogrsko";17;21;21;22;-4;-1
 ;"Ribnica";53;46;55;56;-2;-10
 ;"Ribnica na Pohorju";10;9;7;4;3;5
 ;"Rogaška Slatina";58;57;36;52;22;5
 ;"Rogašovci";23;17;19;22;4;-5
 ;"Rogatec";19;16;15;12;4;4
 ;"Ruše";38;37;32;27;6;10
 ;"Selnica ob Dravi";20;28;20;17;0;11
 ;"Semiè";17;17;22;13;-5;4
 ;"Sevnica";89;74;108;137;-19;-63
 ;"Sežana";59;68;73;89;-14;-21
 ;"Slovenj Gradec";109;89;72;50;37;39
 ;"Slovenska Bistrica";152;132;101;85;51;47
 ;"Slovenske Konjice";97;96;65;71;32;25
 ;"Sodražica";14;15;10;12;4;3
 ;"Solèava";4;1;4;2;0;-1
 ;"Središèe ob Dravi";9;12;7;8;2;4
 ;"Starše";17;16;20;13;-3;3
 ;"Straža";24;21;9;12;15;9
 ;"Sveta Ana";14;8;15;14;-1;-6
 ;"Sveta Trojica v Slov. goricah";6;8;6;8;0;0
 ;"Sveti Andraž v Slov. goricah";8;6;9;9;-1;-3
 ;"Sveti Jurij ob Šèavnici";14;19;16;17;-2;2
 ;"Sveti Jurij v Slov. goricah";10;10;9;7;1;3
 ;"Sveti Tomaž";13;10;10;6;3;4
 ;"Šalovci";3;4;13;14;-10;-10
 ;"Šempeter - Vrtojba";36;40;26;25;10;15
 ;"Šenèur";54;51;28;25;26;26
 ;"Šentilj";29;35;36;37;-7;-2
 ;"Šentjernej";41;31;24;26;17;5
 ;"Šentjur";116;90;95;82;21;8
 ;"Šentrupert";15;14;9;9;6;5
 ;"Škocjan";33;24;15;9;18;15
 ;"Škofja Loka";134;140;98;86;36;54
 ;"Škofljica";61;52;27;20;34;32
 ;"Šmarje pri Jelšah";60;62;65;64;-5;-2
 ;"Šmarješke Toplice";18;23;20;29;-2;-6
 ;"Šmartno ob Paki";12;12;13;12;-1;0
 ;"Šmartno pri Litiji";48;36;27;42;21;-6
 ;"Šoštanj";62;46;38;42;24;4
 ;"Štore";25;22;27;38;-2;-16
 ;"Tabor";7;6;4;8;3;-2
 ;"Tišina";18;26;21;16;-3;10
 ;"Tolmin";60;59;61;83;-1;-24
 ;"Trbovlje";93;69;102;88;-9;-19
 ;"Trebnje";94;98;67;69;27;29
 ;"Trnovska vas";8;5;9;6;-1;-1
 ;"Trzin";24;27;10;8;14;19
 ;"Tržiè";91;81;77;61;14;20
 ;"Turnišèe";21;16;12;16;9;0
 ;"Velenje";187;175;118;98;69;77
 ;"Velika Polana";3;6;14;8;-11;-2
 ;"Velike Lašèe";29;16;24;17;5;-1
 ;"Veržej";4;5;6;9;-2;-4
 ;"Videm";33;31;29;23;4;8
 ;"Vipava";25;35;24;28;1;7
 ;"Vitanje";14;8;7;13;7;-5
 ;"Vodice";29;32;10;12;19;20
 ;"Vojnik";29;39;39;56;-10;-17
 ;"Vransko";12;8;8;10;4;-2
 ;"Vrhnika";109;94;62;70;47;24
 ;"Vuzenica";15;10;9;9;6;1
 ;"Zagorje ob Savi";103;103;73;91;30;12
 ;"Zavrè";8;7;15;8;-7;-1
 ;"Zreèe";38;35;25;15;13;20
 ;"Žalec";109;121;95;78;14;43
 ;"Železniki";40;43;25;20;15;23
 ;"Žetale";4;3;15;3;-11;0
 ;"Žiri";28;33;14;17;14;16
 ;"Žirovnica";23;19;24;18;-1;1
 ;"Žužemberk";30;25;18;19;12;6
2010
 ;"Ajdovšèina";130;131;73;98;57;33
 ;"Apaèe";15;15;15;16;0;-1
 ;"Beltinci";46;35;44;39;2;-4
 ;"Benedikt";13;9;13;7;0;2
 ;"Bistrica ob Sotli";11;9;8;8;3;1
 ;"Bled";46;51;33;33;13;18
 ;"Bloke";11;8;6;4;5;4
 ;"Bohinj";37;24;42;33;-5;-9
 ;"Borovnica";26;33;16;21;10;12
 ;"Bovec";19;13;11;12;8;1
 ;"Braslovèe";33;24;18;16;15;8
 ;"Brda";27;25;25;32;2;-7
 ;"Brezovica";64;81;44;25;20;56
 ;"Brežice";110;124;144;131;-34;-7
 ;"Cankova";4;6;8;8;-4;-2
 ;"Celje";259;275;212;201;47;74
 ;"Cerklje na Gorenjskem";43;36;17;25;26;11
 ;"Cerknica";56;53;50;68;6;-15
 ;"Cerkno";24;26;20;16;4;10
 ;"Cerkvenjak";6;13;16;17;-10;-4
 ;"Cirkulane";9;7;9;12;0;-5
 ;"Èrenšovci";20;27;20;24;0;3
 ;"Èrna na Koroškem";9;16;22;9;-13;7
 ;"Èrnomelj";89;61;61;75;28;-14
 ;"Destrnik";14;14;8;11;6;3
 ;"Divaèa";23;18;20;17;3;1
 ;"Dobje";8;4;3;3;5;1
 ;"Dobrepolje";32;13;23;30;9;-17
 ;"Dobrna";9;12;13;10;-4;2
 ;"Dobrova - Polhov Gradec";55;46;27;21;28;25
 ;"Dobrovnik/Dobronak";5;8;8;4;-3;4
 ;"Dol pri Ljubljani";39;25;17;18;22;7
 ;"Dolenjske Toplice";19;15;17;16;2;-1
 ;"Domžale";213;180;111;99;102;81
 ;"Dornava";20;11;12;13;8;-2
 ;"Dravograd";50;50;45;68;5;-18
 ;"Duplek";51;38;17;17;34;21
 ;"Gorenja vas - Poljane";61;65;30;23;31;42
 ;"Gorišnica";23;21;17;32;6;-11
 ;"Gorje";14;24;14;7;0;17
 ;"Gornja Radgona";46;32;40;44;6;-12
 ;"Gornji Grad";11;14;31;42;-20;-28
 ;"Gornji Petrovci";8;7;11;19;-3;-12
 ;"Grad";6;15;15;16;-9;-1
 ;"Grosuplje";114;136;60;58;54;78
 ;"Hajdina";20;22;20;17;0;5
 ;"Hoèe - Slivnica";57;63;51;37;6;26
 ;"Hodoš/Hodos";3;1;3;2;0;-1
 ;"Horjul";15;21;15;12;0;9
 ;"Hrastnik";35;43;61;51;-26;-8
 ;"Hrpelje - Kozina";20;20;25;23;-5;-3
 ;"Idrija";53;62;68;82;-15;-20
 ;"Ig";42;41;16;22;26;19
 ;"Ilirska Bistrica";66;67;89;79;-23;-12
 ;"Ivanèna Gorica";103;102;47;50;56;52
 ;"Izola/Isola";98;114;77;67;21;47
 ;"Jesenice";129;100;113;112;16;-12
 ;"Jezersko";3;7;2;7;1;0
 ;"Juršinci";16;20;10;13;6;7
 ;"Kamnik";207;188;113;119;94;69
 ;"Kanal";37;26;28;24;9;2
 ;"Kidrièevo";33;32;36;31;-3;1
 ;"Kobarid";28;15;20;22;8;-7
 ;"Kobilje";8;3;2;5;6;-2
 ;"Koèevje";97;100;74;77;23;23
 ;"Komen";19;20;6;11;13;9
 ;"Komenda";46;52;13;20;33;32
 ;"Koper/Capodistria";282;252;229;192;53;60
 ;"Kostanjevica na Krki";10;13;14;12;-4;1
 ;"Kostel";5;1;2;4;3;-3
 ;"Kozje";14;21;10;11;4;10
 ;"Kranj";355;316;220;211;135;105
 ;"Kranjska Gora";27;26;20;24;7;2
 ;"Križevci";20;16;28;29;-8;-13
 ;"Krško";160;136;145;130;15;6
 ;"Kungota";28;26;24;11;4;15
 ;"Kuzma";10;2;15;19;-5;-17
 ;"Laško";68;74;102;95;-34;-21
 ;"Lenart";44;19;51;55;-7;-36
 ;"Lendava/Lendva";36;36;69;70;-33;-34
 ;"Litija";93;81;58;44;35;37
 ;"Ljubljana";1663;1519;1144;1113;519;406
