 ;" ";"Živorojeni - moški";"Živorojeni - ženske";"Umrli - moški";"Umrli - ženske";"Naravni prirast - moški";"Naravni prirast - ženske"
2005
 ;"Prevalje";30;24;43;35;-13;-11
 ;"Ptuj";104;90;108;98;-4;-8
 ;"Puconci";18;47;35;41;-17;6
 ;"Raèe - Fram";27;21;36;30;-9;-9
 ;"Radeèe";23;10;20;16;3;-6
 ;"Radenci";27;22;32;14;-5;8
 ;"Radlje ob Dravi";37;28;24;31;13;-3
 ;"Radovljica";72;76;74;86;-2;-10
 ;"Ravne na Koroškem";44;50;48;48;-4;2
 ;"Razkrižje";4;8;5;5;-1;3
 ;"Reèica ob Savinji";-;-;-;-;-;-
 ;"Renèe - Vogrsko";-;-;-;-;-;-
 ;"Ribnica";44;32;41;48;3;-16
 ;"Ribnica na Pohorju";6;6;8;7;-2;-1
 ;"Rogaška Slatina";57;54;51;50;6;4
 ;"Rogašovci";11;17;27;26;-16;-9
 ;"Rogatec";20;15;20;9;0;6
 ;"Ruše";38;35;40;35;-2;0
 ;"Selnica ob Dravi";11;21;20;28;-9;-7
 ;"Semiè";22;14;17;20;5;-6
 ;"Sevnica";71;75;90;95;-19;-20
 ;"Sežana";49;55;63;65;-14;-10
 ;"Slovenj Gradec";81;71;74;63;7;8
 ;"Slovenska Bistrica";129;133;134;133;-5;0
 ;"Slovenske Konjice";82;49;55;49;27;0
 ;"Sodražica";11;11;14;11;-3;0
 ;"Solèava";2;2;5;6;-3;-4
 ;"Središèe ob Dravi";-;-;-;-;-;-
 ;"Starše";24;14;29;22;-5;-8
 ;"Straža";-;-;-;-;-;-
 ;"Sveta Ana";12;13;16;8;-4;5
 ;"Sveta Trojica v Slov. goricah";-;-;-;-;-;-
 ;"Sveti Andraž v Slov. goricah";6;6;2;6;4;0
 ;"Sveti Jurij ob Šèavnici";14;13;17;15;-3;-2
 ;"Sveti Jurij v Slov. goricah";-;-;-;-;-;-
 ;"Sveti Tomaž";-;-;-;-;-;-
 ;"Šalovci";-;1;16;16;-16;-15
 ;"Šempeter - Vrtojba";37;26;36;32;1;-6
 ;"Šenèur";43;47;29;23;14;24
 ;"Šentilj";29;37;35;33;-6;4
 ;"Šentjernej";29;26;31;29;-2;-3
 ;"Šentjur";97;67;79;97;18;-30
 ;"Šentrupert";-;-;-;-;-;-
 ;"Škocjan";28;23;20;20;8;3
 ;"Škofja Loka";136;108;62;62;74;46
 ;"Škofljica";42;37;33;21;9;16
 ;"Šmarje pri Jelšah";53;48;44;48;9;0
 ;"Šmarješke Toplice";-;-;-;-;-;-
 ;"Šmartno ob Paki";18;15;17;11;1;4
