Ajdovsčina
 ;"2013";55;32;20;25;35;7;11.9;6.2;5.7
 ;"2014";53;29;24;31;29;-2;11.1;7.5;3.7
CerkniCa
 ;"2010";56;53;50;68;6;-15;9.7;10.5;-0.8
 ;"2011";60;73;47;55;13;18;11.8;9.0;2.7
 ;"2012";62;61;59;62;3;-1;10.8;10.7;0.2
 ;"2013";64;59;60;61;4;-2;10.9;10.7;0.2
 ;"2014";63;72;66;81;-3;-9;11.9;13.0;-1.1
Cerkno
 ;"2010";24;26;20;16;4;10;10.4;7.5;2.9
 ;"2011";23;23;20;19;3;4;9.6;8.2;1.5
 ;"2012";26;25;17;20;9;5;10.6;7.7;2.9
 ;"2013";25;21;25;17;0;4;9.6;8.8;0.8
 ;"2014";21;26;19;14;2;12;10.0;7.0;3.0
Cerkvenjak
 ;"2010";6;13;16;17;-10;-4;9.3;16.1;-6.8
 ;"2011";8;15;11;10;-3;5;11.5;10.5;1.0
 ;"2012";15;9;15;11;0;-2;11.8;12.8;-1.0
 ;"2013";16;6;13;16;3;-10;11.0;14.5;-3.5
 ;"2014";13;9;13;13;0;-4;10.8;12.8;-2.0
Cirkulane
 ;"2010";9;7;9;12;0;-5;7.0;9.2;-2.2
 ;"2011";4;14;13;12;-9;2;7.8;10.9;-3.1
 ;"2012";13;13;13;16;0;-3;11.3;12.6;-1.3
 ;"2013";11;13;8;14;3;-1;10.4;9.6;0.9
 ;"2014";11;10;10;16;1;-6;9.0;11.1;-2.1
CrensovCi
 ;"2010";20;27;20;24;0;3;11.3;10.5;0.7
 ;"2011";18;20;25;20;-7;0;9.2;10.8;-1.7
 ;"2012";18;17;28;21;-10;-4;8.5;11.9;-3.4
 ;"2013";22;21;25;18;-3;3;10.7;10.7;0.0
 ;"2014";25;22;26;19;-1;3;11.7;11.2;0.5
Crna na Koroskem
 ;"2010";9;16;22;9;-13;7;7.0;8.6;-1.7
 ;"2011";7;6;23;14;-16;-8;3.7;10.4;-6.8
 ;"2012";17;13;21;19;-4;-6;8.6;11.4;-2.9
 ;"2013";14;16;16;15;-2;1;8.7;9.0;-0.3
 ;"2014";8;21;16;18;-8;3;8.6;10.1;-1.5
Crnomelj
 ;"2010";89;61;61;75;28;-14;10.2;9.2;1.0
 ;"2011";75;73;80;75;-5;-2;10.0;10.5;-0.5
 ;"2012";78;69;70;78;8;-9;10.0;10.1;-0.1
 ;"2013";78;68;76;85;2;-17;10.0;11.0;-1.0
 ;"2014";71;63;78;89;-7;-26;9.2;11.4;-2.3
Destrnik
 ;"2010";14;14;8;11;6;3;10.6;7.2;3.4
 ;"2011";10;16;21;7;-11;9;9.8;10.6;-0.8
 ;"2012";16;10;14;12;2;-2;10.0;10.0;0.0
 ;"2013";17;13;14;12;3;1;11.5;9.9;1.5
 ;"2014";10;10;12;15;-2;-5;7.8;10.5;-2.7
Divača
 ;"2010";23;18;20;17;3;1;10.5;9.5;1.0
 ;"2011";11;9;20;13;-9;-4;5.1;8.5;-3.3
 ;"2012";20;12;16;18;4;-6;8.2;8.7;-0.5
 ;"2013";26;14;22;8;4;6;10.1;7.6;2.5
 ;"2014";24;13;16;15;8;-2;9.4;7.8;1.5
Dobje
 ;"2010";8;4;3;3;5;1;12.4;6.2;6.2
 ;"2011";6;6;3;6;3;0;12.3;9.2;3.1
 ;"2012";9;6;6;7;3;-1;15.4;13.4;2.1
 ;"2013";6;9;5;6;1;3;15.4;11.3;4.1
 ;"2014";5;8;2;3;3;5;13.3;5.1;8.2
Dobrepolje
 ;"2010";32;13;23;30;9;-17;11.6;13.7;-2.1
 ;"2011";31;23;20;34;11;-11;13.8;13.8;0.0
 ;"2012";21;15;32;27;-11;-12;9.1;14.9;-5.8
 ;"2013";26;14;27;25;-1;-11;10.1;13.2;-3.0
 ;"2014";17;19;25;24;-8;-5;9.2;12.5;-3.3
Dobrna
 ;"2010";9;12;13;10;-4;2;9.5;10.4;-0.9
 ;"2011";14;6;10;11;4;-5;9.1;9.6;-0.5
 ;"2012";8;20;10;5;-2;15;12.8;6.9;5.9
 ;"2013";12;14;13;8;-1;6;11.9;9.6;2.3
 ;"2014";10;8;12;10;-2;-2;8.2;10.0;-1.8
Dobrova - Polhov GradeC
 ;"2010";55;46;27;21;28;25;13.8;6.6;7.3
 ;"2011";58;41;22;21;36;20;13.4;5.8;7.6
 ;"2012";36;50;22;22;14;28;11.5;5.9;5.6
 ;"2013";54;39;28;26;26;13;12.3;7.2;5.2
 ;"2014";49;51;22;26;27;25;13.3;6.4;6.9
Dobrovnik/Dobronak
 ;"2010";5;8;8;4;-3;4;9.8;9.1;0.8
 ;"2011";5;6;6;8;-1;-2;8.2;10.4;-2.2
 ;"2012";6;8;4;6;2;2;10.5;7.5;3.0
 ;"2013";4;3;6;8;-2;-5;5.4;10.9;-5.4
 ;"2014";5;8;10;11;-5;-3;10.1;16.3;-6.2
Dol pri Ljubljani
 ;"2010";39;25;17;18;22;7;11.9;6.5;5.4
 ;"2011";47;43;14;22;33;21;16.3;6.5;9.8
 ;"2012";41;47;15;11;26;36;15.7;4.6;11.0
 ;"2013";37;25;21;9;16;16;10.8;5.2;5.6
 ;"2014";43;40;11;14;32;26;14.3;4.3;10.0
Dolenjske TopliCe
 ;"2010";19;15;17;16;2;-1;10.0;9.7;0.3
 ;"2011";21;21;10;9;11;12;12.4;5.6;6.8
 ;"2012";21;14;9;10;12;4;10.3;5.6;4.7
 ;"2013";15;17;19;12;-4;5;9.4;9.1;0.3
 ;"2014";20;12;13;8;7;4;9.4;6.2;3.2
Domzale
 ;"2010";213;180;111;99;102;81;11.6;6.2;5.4
 ;"2011";225;174;105;124;120;50;11.7;6.7;5.0
 ;"2012";199;202;118;114;81;88;11.7;6.8;4.9
 ;"2013";172;186;120;122;52;64;10.3;7.0;3.3
 ;"2014";201;186;131;97;70;89;11.1;6.5;4.5
Dornava
 ;"2010";20;11;12;13;8;-2;10.6;8.5;2.0
 ;"2011";11;17;11;16;0;1;9.5;9.1;0.3
 ;"2012";12;11;16;17;-4;-6;7.8;11.2;-3.4
